Image Path,Image Name,DateTimeOriginal,Latitude,Longitude
20240819/Cam3/FLIR_20240819_025418_062.jpg,FLIR_20240819_025418_062.jpg,2024:08:19 14:54:17,-22.34293611111111,-69.5297638888889
20240819/Cam3/FLIR_20240819_025713_151.jpg,FLIR_20240819_025713_151.jpg,2024:08:19 14:57:13,-22.34293611111111,-69.5297638888889
20240819/Cam3/FLIR_20240819_032512_452.jpg,FLIR_20240819_032512_452.jpg,2024:08:19 15:25:12,-22.342097222222222,-69.53015
20240819/Cam3/FLIR_20240819_031253_068.jpg,FLIR_20240819_031253_068.jpg,2024:08:19 15:12:52,-22.342155555555554,-69.53007222222222
20240819/Cam3/FLIR_20240819_102413_221.jpg,FLIR_20240819_102413_221.jpg,2024:08:19 10:24:13,-22.34301111111111,-69.52941388888888
20240819/Cam3/FLIR_20240819_030040_379.jpg,FLIR_20240819_030040_379.jpg,2024:08:19 15:00:40,-22.342777777777776,-69.52975277777777
20240819/Cam3/FLIR_20240819_102818_232.jpg,FLIR_20240819_102818_232.jpg,2024:08:19 10:28:18,-22.34301111111111,-69.52941388888888
20240819/Cam3/FLIR_20240819_101928_568.jpg,FLIR_20240819_101928_568.jpg,2024:08:19 10:19:28,-22.34301111111111,-69.52941388888888
20240819/Cam3/FLIR_20240819_104345_217.jpg,FLIR_20240819_104345_217.jpg,2024:08:19 10:43:45,-22.342655555555556,-69.52981388888888
20240819/Cam3/FLIR_20240819_105228_306.jpg,FLIR_20240819_105228_306.jpg,2024:08:19 10:52:28,-22.342655555555556,-69.52981388888888
20240819/Cam3/FLIR_20240819_031208_214.jpg,FLIR_20240819_031208_214.jpg,2024:08:19 15:12:08,-22.342155555555554,-69.53007222222222
20240819/Cam3/FLIR_20240819_025835_417.jpg,FLIR_20240819_025835_417.jpg,2024:08:19 14:58:35,,
20240819/Cam3/FLIR_20240819_024906_789.jpg,FLIR_20240819_024906_789.jpg,2024:08:19 14:49:06,,
20240819/Cam3/FLIR_20240819_030129_807.jpg,FLIR_20240819_030129_807.jpg,2024:08:19 15:01:29,-22.342777777777776,-69.52975277777777
20240819/Cam3/FLIR_20240819_102056_892.jpg,FLIR_20240819_102056_892.jpg,2024:08:19 10:20:56,-22.34301111111111,-69.52941388888888
20240819/Cam3/FLIR_20240819_101114_072.jpg,FLIR_20240819_101114_072.jpg,2024:08:19 10:11:13,-22.341691666666666,-69.52998611111111
20240819/Cam3/FLIR_20240819_104909_058.jpg,FLIR_20240819_104909_058.jpg,2024:08:19 10:49:08,-22.342655555555556,-69.52981388888888
20240819/Cam3/FLIR_20240819_032427_603.jpg,FLIR_20240819_032427_603.jpg,2024:08:19 15:24:27,,
20240819/Cam3/FLIR_20240819_024159_317.jpg,FLIR_20240819_024159_317.jpg,2024:08:19 14:41:59,-22.341730555555554,-69.52943611111111
20240819/Cam3/FLIR_20240819_101249_062.jpg,FLIR_20240819_101249_062.jpg,2024:08:19 10:12:49,-22.341691666666666,-69.52998611111111
20240819/Cam3/FLIR_20240819_104955_327.jpg,FLIR_20240819_104955_327.jpg,2024:08:19 10:49:55,-22.342655555555556,-69.52981388888888
20240819/Cam3/FLIR_20240819_104730_231.jpg,FLIR_20240819_104730_231.jpg,2024:08:19 10:47:30,-22.342655555555556,-69.52981388888888
20240819/Cam3/FLIR_20240819_023719_618.jpg,FLIR_20240819_023719_618.jpg,2024:08:19 14:37:19,,
20240819/Cam3/FLIR_20240819_102314_437.jpg,FLIR_20240819_102314_437.jpg,2024:08:19 10:23:14,-22.34301111111111,-69.52941388888888
20240819/Cam3/FLIR_20240819_103316_428.jpg,FLIR_20240819_103316_428.jpg,2024:08:19 10:33:16,-22.34218611111111,-69.52971111111111
